#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-9218.64055583481	0.0	0.0	1232.2653607831787	0.0	-10450.905916617989	-9898.463132715839	21.805592330065828	-45709.67235725637	45135.37032650917	-0.03652481427381845	108.29	0.076926	-45.556	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
3000	-9233.345867348751	0.0	0.0	1217.8978739932054	0.0	-10451.303357469717	-9898.661853141703	21.785720287479418	-45709.67235725637	45135.37032650917	0.011306397349962867	203.92	0.14401	-45.186	848.0	0.975235849	0.0247641509	0.0322660871	0.000819332321	1.0088
5500	-8676.53123407759	0.0	0.0	953.6394516791479	0.0	-9630.190557799326	-9084.504268376553	28.766768848084652	-45709.67235725637	45135.37032650917	-0.30849358911140246	-447.38	-0.31593	-43.624	848.0	0.975235849	0.0247641509	0.0322660871	0.000819332321	1.0088
6000	-8664.409288099883	0.0	0.0	965.6620374439249	0.0	-9629.991837373462	-9084.504268376553	28.738947988463682	-45709.67235725637	45135.37032650917	-0.3608762933691747	-549.11	-0.38961	-43.957	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
8500	-8343.475800329388	0.0	0.0	856.544651601957	0.0	-9199.960835803586	-8660.236159156737	34.57337969183316	-45709.67235725637	45135.37032650917	-0.3651289104826661	-563.9	-0.4001	-42.393	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
9000	-8344.270682032844	0.0	0.0	855.8292580688462	0.0	-9200.15955622945	-8660.4348795826	34.58132850886772	-45709.67235725637	45135.37032650917	-0.3704546178958235	-574.49	-0.40762	-42.416	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
11500	-8199.800932429656	0.0	0.0	894.2021723032007	0.0	-9094.04284881803	-8550.343763653898	30.726152247104512	-45709.67235725637	45135.37032650917	0.04464453087462489	249.97	0.17736	-40.192	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
12000	-8205.762545205578	0.0	0.0	900.3625055049872	0.0	-9105.966074369875	-8561.670827928152	30.738075472656355	-45763.326872239675	45189.02484149247	0.05459446259763952	269.91	0.19151	-40.185	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	0.99958
14500	-8080.568676911206	0.0	0.0	868.0505642594874	0.0	-8948.778217511384	-8405.675293624847	31.970142113013672	-45763.326872239675	45189.02484149247	0.20827887834814537	573.77	0.40711	-39.009	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	0.99958
15000	-8082.555881169847	0.0	0.0	866.2620804267106	0.0	-8948.778217511384	-8405.675293624847	31.924436415064932	-45763.326872239675	45189.02484149247	0.2300983811080217	617.82	0.43785	-38.892	845.0	0.979881657	0.0201183432	0.0323051029	0.000663269022	1.0016
17500	-8083.549483299168	0.0	0.0	798.001614142398	0.0	-8881.411993143462	-8344.07196160698	37.73104725881344	-45763.326872239675	45189.02484149247	-0.13628842967036403	-113.24	-0.08025	-40.232	845.0	0.979881657	0.0201183432	0.0323051029	0.000663269022	1.0016
18000	-8080.171236059478	0.0	0.0	801.4196054672603	0.0	-8881.610713569326	-8344.270682032844	37.713162420485666	-45763.326872239675	45189.02484149247	-0.1483229386606929	-136.97	-0.097181	-40.307	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	0.99958
20500	-8026.318000650312	0.0	0.0	804.2016914293574	0.0	-8830.539564122257	-8297.77010238065	42.33539952608424	-45763.326872239675	45189.02484149247	-0.1048945767923562	-51.471	-0.03652	-39.883	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	0.99958
21000	-8024.132075965807	0.0	0.0	809.288934331478	0.0	-8833.520370510218	-8298.962424935833	41.2821812690046	-45818.968591481615	45242.679356475775	-0.1424586988934438	-125.7	-0.089402	-40.104	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	0.99452
23500	-8051.754215160915	0.0	0.0	776.2218554676946	0.0	-8827.956198586022	-8282.269909163251	30.19358150578877	-45818.968591481615	45242.679356475775	-0.35376210212324055	-545.28	-0.38781	-41.009	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	0.99452
24000	-8055.9273441040605	0.0	0.0	772.0685985671353	0.0	-8828.154919011888	-8282.468629589115	30.163773441909157	-45818.968591481615	45242.679356475775	-0.3127859503100666	-465.2	-0.33008	-40.787	844.0	0.982227488	0.0177725118	0.0323441188	0.000585237372	0.99867
26500	-8077.786590949109	0.0	0.0	788.7412422971317	0.0	-8866.507961203655	-8326.783284556805	36.14327105615941	-45818.968591481615	45242.679356475775	-0.23755039707792483	-314.82	-0.22338	-40.62	844.0	0.982227488	0.0177725118	0.0323441188	0.000585237372	0.99867
27000	-8080.369956485342	0.0	0.0	791.7419207276795	0.0	-8872.07213312785	-8333.34105861032	36.97789684478856	-45818.968591481615	45242.679356475775	-0.193209908454872	-226.88	-0.16079	-40.424	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1.0007000000000001
29500	-8055.7286236781965	0.0	0.0	781.9648757751665	0.0	-8837.693499453362	-8302.14195174966	40.14550043306205	-45818.968591481615	45242.679356475775	-0.23452984660479073	-309.8	-0.21955	-40.454	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1.0007000000000001
30000	-8044.997720681536	0.0	0.0	789.5162519580017	0.0	-8834.513972639537	-8299.956027065155	40.38793935261623	-45763.326872239675	45189.02484149247	-0.24846014845786296	-336.04	-0.23899	-40.593	842.0	0.983372922	0.0166270784	0.0323051029	0.000546221547	0.9954299999999999
32500	-8013.4011729691465	0.0	0.0	834.8642531401855	0.0	-8848.22568202416	-8309.097166654901	36.00217955379591	-45763.326872239675	45189.02484149247	0.05368432304718202	264.07	0.18781	-39.335	842.0	0.983372922	0.0166270784	0.0323051029	0.000546221547	0.9954299999999999
33000	-7997.702259325884	0.0	0.0	841.8592121306012	0.0	-8839.48198328614	-8301.347070046202	36.22474643076369	-45707.68515299773	45133.38312225053	0.03872663659239249	233.75	0.16684	-39.453	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	0.99012
35500	-7984.984152070583	0.0	0.0	794.9413195840912	0.0	-8779.865855526914	-8243.916866971484	38.38881186842355	-45707.68515299773	45133.38312225053	-0.2662853706578712	-370.79	-0.26465	-40.502	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	0.99012
