#TS	BOND	ANGLE	DIHED	IMPRP	ELECT	VDW	BOUNDARY	MISC	KINETIC	TOTAL	TEMP	POTENTIAL	TOTAL3	TEMPAVG	PRESSURE	GPRESSURE	VOLUME	PRESSAVG	GPRESSAVG	DENSITY
0	0.0026	0.0000	0.0000	0.0000	-11367.9087	1223.1551	0.0000	0.0000	0.0000	-10144.7511	0.0000	-10144.7511	-10144.7511	0.0000	-12.2755	-26890.8488	25630.6257	-12.2755	-26890.8488	0.9984118649947746
0	0.0026	0.0000	0.0000	0.0000	-11367.9087	1223.1551	0.0000	0.0000	0.0000	-10144.7511	0.0000	-10144.7511	-10144.7515	0.0000	-4464.2926	-4464.2926	25630.6257	-4464.2926	-4464.2926	0.9984118649947746
2500	2.5578	0.0000	0.0000	0.0000	-10414.8657	1197.8366	0.0000	0.0000	898.2367	-8316.2345	178.7320	-9214.4712	-8315.9511	109.6558	-534.6699	-551.7472	25630.6257	-1774.8841	-1774.9081	0.9984118649947746
3000	2.2774	0.0000	0.0000	0.0000	-10414.5738	1185.9385	0.0000	0.0000	908.2133	-8318.1446	179.8637	-9226.3579	-8317.7480	179.8637	-450.8473	-450.8473	25630.6257	-450.8473	-450.8473	1.006698166471215
5500	6.0792	0.0000	0.0000	0.0000	-9764.6866	1013.2147	0.0000	0.0000	1280.6138	-7464.7788	253.6144	-8745.3926	-7464.4337	219.2297	-402.8094	-403.9613	25630.6257	-490.1992	-490.4427	1.006698166471215
6000	6.0792	0.0000	0.0000	0.0000	-9764.6099	1008.7012	0.0000	0.0000	1282.7054	-7467.1241	253.4302	-8749.8295	-7466.4910	253.4302	-336.6718	-336.6718	25630.6257	-336.6718	-336.6718	1.010844556576705
8500	6.9684	0.0000	0.0000	0.0000	-9335.1356	922.9631	0.0000	0.0000	1411.4625	-6993.7416	278.8693	-8405.2041	-6992.6804	262.1626	137.8409	132.2458	25630.6257	-201.3647	-201.3036	1.010844556576705
9000	3.6031	0.0000	0.0000	0.0000	-9355.7832	940.9824	0.0000	0.0000	1406.6537	-7004.5440	278.5755	-8411.1977	-7003.8136	278.5755	217.8686	217.8686	25630.6257	217.8686	217.8686	1.004890599534603
11500	3.4805	0.0000	0.0000	0.0000	-9078.4680	829.0493	0.0000	0.0000	1490.4192	-6755.5190	295.1645	-8245.9382	-6755.3080	283.7367	-456.9454	-441.1077	25630.6257	-254.7264	-254.6387	1.004890599534603
12000	2.9060	0.0000	0.0000	0.0000	-9078.8382	829.9405	0.0000	0.0000	1487.8200	-6758.1718	294.6498	-8245.9917	-6757.4470	294.6498	-400.9332	-400.9332	25630.6257	-400.9332	-400.9332	1.004890599534603
