#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-4616800.0	0.0	0.0	587630.0	0.0	-5204400.0	-4924500.0	9201.7	-23002000.0	22713000.0	-149.78	-412.37	-0.29294	-46.29	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
3000	-4617700.0	0.0	0.0	586730.0	0.0	-5204400.0	-4924600.0	9225.0	-23002000.0	22713000.0	-144.57	-392.39	-0.27841	-46.207	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
5500	-4349200.0	0.0	0.0	503920.0	0.0	-4853100.0	-4579800.0	15800.0	-23002000.0	22713000.0	-97.285	-215.61	-0.15298	-43.239	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
6000	-4350800.0	0.0	0.0	502310.0	0.0	-4853100.0	-4579800.0	15788.0	-23002000.0	22713000.0	-93.03	-199.13	-0.14112	-43.174	845.0	0.978698225	0.0213017751	0.0322660871	0.000702284846	1002.6
8500	-4228600.0	0.0	0.0	448090.0	0.0	-4676700.0	-4404200.0	16591.0	-23002000.0	22713000.0	-125.98	-334.56	-0.2371	-42.219	845.0	0.978698225	0.0213017751	0.0322660871	0.000702284846	1002.6
9000	-4228600.0	0.0	0.0	448090.0	0.0	-4676700.0	-4404200.0	16591.0	-23002000.0	22713000.0	-125.98	-334.56	-0.2371	-42.219	845.0	0.978698225	0.0213017751	0.0322660871	0.000702284846	1002.6
11500	-4132400.0	0.0	0.0	400170.0	0.0	-4532600.0	-4262000.0	18468.0	-23002000.0	22713000.0	-209.9	-671.08	-0.47559	-41.887	845.0	0.978698225	0.0213017751	0.0322660871	0.000702284846	1002.6
12000	-4130100.0	0.0	0.0	402530.0	0.0	-4532600.0	-4262000.0	18466.0	-23002000.0	22713000.0	-226.25	-733.88	-0.52133	-42.078	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
14500	-4074600.0	0.0	0.0	384340.0	0.0	-4458900.0	-4187300.0	17388.0	-23002000.0	22713000.0	-193.48	-606.41	-0.43078	-41.298	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
15000	-4064700.0	0.0	0.0	389070.0	0.0	-4453800.0	-4183000.0	17566.0	-22946000.0	22658000.0	-187.04	-578.69	-0.41255	-41.297	840.0	0.982142857	0.0178571429	0.0321880555	0.000585237372	994.0
17500	-4039100.0	0.0	0.0	432310.0	0.0	-4471400.0	-4202900.0	19850.0	-22946000.0	22658000.0	49.624	353.19	0.25179	-39.33	840.0	0.982142857	0.0178571429	0.0321880555	0.000585237372	994.0
18000	-4041700.0	0.0	0.0	435530.0	0.0	-4477300.0	-4208300.0	20127.0	-23001000.0	22712000.0	49.569	353.08	0.25171	-39.357	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
20500	-4078600.0	0.0	0.0	429980.0	0.0	-4508600.0	-4237100.0	17564.0	-23001000.0	22712000.0	-83.835	-171.32	-0.12214	-40.686	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
21000	-4080200.0	0.0	0.0	428390.0	0.0	-4508600.0	-4237200.0	17612.0	-23001000.0	22712000.0	-92.882	-206.92	-0.14752	-40.767	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
23500	-4028700.0	0.0	0.0	409100.0	0.0	-4437800.0	-4166700.0	17865.0	-23001000.0	22712000.0	-55.211	-60.442	-0.04309	-39.988	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
24000	-4031600.0	0.0	0.0	405630.0	0.0	-4437300.0	-4165000.0	16801.0	-23002000.0	22712000.0	-40.996	-4.6819	-0.0033299	-39.82	842.0	0.982185273	0.0178147268	0.0322660871	0.000585237372	996.34
26500	-4044400.0	0.0	0.0	405580.0	0.0	-4450000.0	-4180000.0	19069.0	-23002000.0	22712000.0	-87.723	-188.81	-0.13428	-40.283	842.0	0.982185273	0.0178147268	0.0322660871	0.000585237372	996.34
27000	-4038700.0	0.0	0.0	409780.0	0.0	-4448500.0	-4179100.0	19654.0	-23001000.0	22712000.0	-104.61	-254.3	-0.18151	-40.491	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	990.12
29500	-4050200.0	0.0	0.0	414210.0	0.0	-4464400.0	-4195100.0	19701.0	-23001000.0	22712000.0	-116.13	-299.17	-0.21354	-40.688	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	990.12
