#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	0	-10128.2347	-11336.2453	-10128.2358	-12.9590	25630.6257	0.9984118649947746
NAMD	0	-10128.2347	-11336.2453	-10128.2358	-4562.2318	25630.6257	0.9984118649947746
NAMD	2500	-9170.3896	-10342.5406	-9174.7819	-739.7966	25630.6257	0.9984118649947746
GOMC	2500	-9174.524621292983	-10342.205843670336	-9174.465005165224	-412.37	25630.6257	0.99841
GOMC	3000	-9176.31310512576	-10342.205843670336	-9176.253488998002	-392.39	25630.6257	1.0005
NAMD	3000	-9172.1600	-10342.5171	-9176.552	-728.9450	25630.6257	1.0004850600475197
NAMD	5500	-8639.0198	-9644.1057	-8642.697400000001	-323.2624	25630.6257	1.0004850600475197
GOMC	5500	-8642.748761680697	-9644.100987609812	-8642.709017595525	-215.61	25630.6257	1.0005
GOMC	6000	-8645.928288494522	-9644.100987609812	-8645.908416451937	-199.13	25630.6257	1.0026
NAMD	6000	-8642.2481	-9644.1333	-8645.925799999999	-301.5565	25630.6257	1.0025517763657248
NAMD	8500	-8397.7035	-9293.3107	-8402.8395	-668.5069	25630.6257	1.0025517763657248
GOMC	8500	-8403.091928088614	-9293.558156385569	-8403.111800131199	-334.56	25630.6257	1.0026
GOMC	9000	-8403.091928088614	-9293.558156385569	-8403.111800131199	-334.56	25630.6257	1.0026
NAMD	9000	-8397.7051	-9293.3123	-8402.8411	-672.8045	25630.6257	1.0025517763657248
NAMD	11500	-8207.1635	-9007.2219	-8211.9864	-443.0952	25630.6257	1.0025517763657248
GOMC	11500	-8211.922878407366	-9007.202022715426	-8211.982494535125	-671.08	25630.6257	1.0026
GOMC	12000	-8207.352308612491	-9007.202022715426	-8207.292692484732	-733.88	25630.6257	0.99841
NAMD	12000	-8203.0336	-9007.1769	-8207.2486	-562.3441	25630.6257	0.9984118649947746
NAMD	14500	-8088.0804	-8861.0699	-8097.284500000001	-694.7531	25630.6257	0.9984118649947746
GOMC	14500	-8097.062472257926	-8860.745068853597	-8096.982984087581	-606.41	25630.6257	0.99841
GOMC	15000	-8077.389150097381	-8850.610327134527	-8077.4487662251395	-578.69	25630.6257	0.994
NAMD	15000	-8069.4503	-8850.8915	-8077.722299999999	-615.6828	25630.6257	0.9939998467731515
NAMD	17500	-8022.2715	-8885.4485	-8026.339400000001	200.3750	25630.6257	0.9939998467731515
GOMC	17500	-8026.516721076176	-8885.585122086606	-8026.496849033589	353.19	25630.6257	0.994
GOMC	18000	-8031.683452148643	-8897.309627212588	-8031.822556446747	353.08	25630.6257	0.99219
NAMD	18000	-8028.0298	-8897.1295	-8031.628799999999	210.0024	25630.6257	0.9921922798365395
NAMD	20500	-8101.7438	-8959.5111	-8105.04	-197.4396	25630.6257	0.9921922798365395
GOMC	20500	-8105.011289292489	-8959.509120508046	-8105.051033377662	-171.32	25630.6257	0.99219
GOMC	21000	-8108.190816106314	-8959.509120508046	-8108.210688148901	-206.92	25630.6257	0.99219
NAMD	21000	-8106.9759	-8959.5768	-8108.2655	-254.8790	25630.6257	0.9921922798365395
NAMD	23500	-8002.2250	-8818.6295	-8005.649599999999	-108.2016	25630.6257	0.9921922798365395
GOMC	23500	-8005.849796786311	-8818.815058996275	-8005.849796786311	-60.442	25630.6257	0.99219
GOMC	24000	-8011.61268913637	-8817.821456866954	-8011.751793434474	-4.6819	25630.6257	0.99634
NAMD	24000	-8008.5876	-8817.5322	-8011.4456	-55.6887	25630.6257	0.9963386699420296
NAMD	26500	-8033.6478	-8843.0735	-8037.0949	-293.5136	25630.6257	0.9963386699420296
GOMC	26500	-8037.048903646973	-8843.058950951692	-8037.088647732145	-188.81	25630.6257	0.99634
GOMC	27000	-8025.72183937272	-8840.078144563731	-8025.761583457892	-254.3	25630.6257	0.99012
NAMD	27000	-8022.6645	-8840.0645	-8025.7264000000005	-324.5820	25630.6257	0.9901190847837945
NAMD	29500	-8043.7092	-8871.6111	-8048.4633	-156.5493	25630.6257	0.9901190847837945
GOMC	29500	-8048.574688347089	-8871.674692276121	-8048.554816304503	-299.17	25630.6257	0.99012
GOMC	30000	-8044.799000255672	-8871.674692276121	-8044.838744340845	-361.46	25630.6257	0.98597
NAMD	30000	-8040.3449	-8871.5498	-8044.686500000001	-170.6341	25630.6257	0.9859726946783044
NAMD	32500	-8020.8822	-8847.2580	-8023.1563	-218.0893	25630.6257	0.9859726946783044
GOMC	32500	-8023.734635114079	-8847.82824117243	-8023.734635114079	-272.32	25630.6257	0.98597
GOMC	33000	-8028.901366186545	-8847.629520746566	-8028.960982314304	-303.47	25630.6257	0.9880399999999999
NAMD	33000	-8027.1509	-8847.1657	-8028.4789	-315.3536	25630.6257	0.9880458897310495
NAMD	35500	-7979.6384	-8777.2607	-7983.0308	-274.2035	25630.6257	0.9880458897310495
GOMC	35500	-7983.195668237806	-8777.481210416545	-7983.275156408151	-241.18	25630.6257	0.9880399999999999
GOMC	36000	-7988.163678884408	-8777.481210416545	-7988.104062756648	-229.26	25630.6257	0.99012
NAMD	36000	-7987.5582	-8777.3266	-7987.9241	-191.1898	25630.6257	0.9901190847837945
NAMD	38500	-8036.0416	-8916.2041	-8039.225100000001	503.7439	25630.6257	0.9901190847837945
GOMC	38500	-8039.433548757342	-8916.38678809554	-8039.433548757343	280.07	25630.6257	0.99012
GOMC	39000	-8051.158053883322	-8930.694658757753	-8051.197797968494	313.65	25630.6257	0.9912799999999999
NAMD	39000	-8048.2984	-8930.5043	-8050.9813	490.3108	25630.6257	0.9912852570009635
NAMD	41500	-8002.3905	-8821.2164	-8009.590099999999	-88.0129	25630.6257	0.9912852570009635
GOMC	41500	-8010.221646155322	-8821.795865384236	-8010.181902070149	-39.501	25630.6257	0.9912799999999999
GOMC	42000	-8009.426764451865	-8821.9945858101	-8009.426764451865	-14.978	25630.6257	0.9912799999999999
NAMD	42000	-8002.8716	-8821.4283	-8008.849099999999	-4.2228	25630.6257	0.9912852570009635
NAMD	44500	-8070.3626	-8939.9647	-8074.016600000001	236.7471	25630.6257	0.9912852570009635
GOMC	44500	-8074.209623283556	-8940.23323919923	-8074.308983496488	202.66	25630.6257	0.9912799999999999
GOMC	45000	-8076.594268393925	-8937.053712385405	-8076.634012479099	257.61	25630.6257	0.9954299999999999
NAMD	45000	-8073.1581	-8936.7852	-8076.356900000001	308.6938	25630.6257	0.9954316471064536
NAMD	47500	-8030.7850	-8861.1225	-8032.244999999999	116.2636	25630.6257	0.9954316471064536
GOMC	47500	-8032.08089300037	-8860.943789279461	-8032.080893000371	138.08	25630.6257	0.9954299999999999
GOMC	48000	-8025.920559798584	-8852.994972244896	-8026.000047968929	158.06	25630.6257	0.99634
NAMD	48000	-8024.6911	-8853.0178	-8026.0124	143.5433	25630.6257	0.9963386699420296
NAMD	50500	-8029.4846	-8903.5361	-8034.575499999999	217.2619	25630.6257	0.9963386699420296
GOMC	50500	-8034.6642585366035	-8903.469960414373	-8034.525154238498	451.91	25630.6257	0.99634
GOMC	51000	-8023.933355539943	-8903.072519562646	-8023.933355539943	400.24	25630.6257	0.99012
NAMD	51000	-8019.8166	-8903.1228	-8023.957699999999	204.3212	25630.6257	0.9901190847837945
NAMD	53500	-8001.3940	-8852.8682	-8009.018900000001	169.1248	25630.6257	0.9901190847837945
GOMC	53500	-8009.029323600137	-8852.796251819032	-8008.969707472377	198.88	25630.6257	0.99012
GOMC	54000	-8015.587097653652	-8859.751466724276	-8015.646713781411	130.63	25630.6257	0.98921
NAMD	54000	-8013.5320	-8859.8162	-8015.697999999999	43.4872	25630.6257	0.9892120619482184
NAMD	56500	-8053.1695	-8835.6561	-8061.1324	-942.3117	25630.6257	0.9892120619482184
GOMC	56500	-8061.2927956023905	-8835.706295194723	-8061.193435389459	-849.99	25630.6257	0.98921
GOMC	57000	-8083.748203725032	-8852.001370115577	-8083.768075767618	-876.83	25630.6257	0.9936200000000001
NAMD	57000	-8075.8735	-8851.8697	-8083.621299999999	-949.2675	25630.6257	0.9936176014353018
NAMD	59500	-8043.7326	-8826.7822	-8046.348199999999	-584.4399	25630.6257	0.9936176014353018
GOMC	59500	-8046.388763662584	-8826.763876030838	-8046.349019577411	-528.92	25630.6257	0.9936200000000001
GOMC	60000	-8048.177247495361	-8835.905015620587	-8048.197119537948	-534.47	25630.6257	0.99064
NAMD	60000	-8045.7782	-8835.8811	-8048.1543	-606.1940	25630.6257	0.9906373835469807
NAMD	62500	-8083.8815	-8965.7003	-8087.2981	151.2917	25630.6257	0.9906373835469807
GOMC	62500	-8087.52389181645	-8965.868174135696	-8087.484147731277	278.96	25630.6257	0.99064
GOMC	63000	-8080.369956485342	-8955.932152842492	-8080.509060783446	316.62	25630.6257	0.99154
NAMD	63000	-8077.5960	-8955.6340	-8080.1905	194.6973	25630.6257	0.9915444063825567
NAMD	65500	-8048.3964	-8913.6702	-8052.6355	25.6143	25630.6257	0.9915444063825567
GOMC	65500	-8052.549096864371	-8913.604702133443	-8052.588840949545	204.6	25630.6257	0.99154
GOMC	66000	-8049.369570050546	-8903.66868084024	-8049.250337795028	233.68	25630.6257	0.99452
NAMD	66000	-8045.2104	-8903.8900	-8049.4495	69.7647	25630.6257	0.9945246242708776
NAMD	68500	-8059.4380	-8926.0992	-8062.9125	425.4005	25630.6257	0.9945246242708776
GOMC	68500	-8062.882559009303	-8926.124088962879	-8062.962047179648	358.69	25630.6257	0.99452
GOMC	69000	-8063.8761611386235	-8926.124088962879	-8063.856289096037	415.48	25630.6257	0.9966
NAMD	69000	-8060.4040	-8926.1570	-8063.878499999999	479.8814	25630.6257	0.9965978193236228
NAMD	71500	-8021.8605	-8842.8555	-8025.203399999999	198.7191	25630.6257	0.9965978193236228
GOMC	71500	-8025.125678095127	-8842.860230525828	-8025.225038308059	41.645	25630.6257	0.9966
GOMC	72000	-8040.427150886662	-8853.988574374218	-8040.427150886662	-37.743	25630.6257	0.99776
NAMD	72000	-8037.4088	-8854.0071	-8040.434000000001	106.1325	25630.6257	0.9977639915407918
NAMD	74500	-8055.2911	-8890.8592	-8059.291200000001	-11.4641	25630.6257	0.9977639915407918
GOMC	74500	-8059.504311769614	-8891.149294010802	-8059.603671982547	87.821	25630.6257	0.99776
GOMC	75000	-8071.8249781731865	-8901.28403572987	-8071.884594300947	149.74	25630.6257	1.001
NAMD	75000	-8067.9590	-8901.0111	-8071.5944	99.2346	25630.6257	1.001003358810706
NAMD	77500	-8026.4794	-8805.6893	-8031.497	-281.9848	25630.6257	1.001003358810706
GOMC	77500	-8031.683452148643	-8805.89823131511	-8031.7231962338155	-258.05	25630.6257	1.001
GOMC	78000	-8019.958947022661	-8809.077758128935	-8020.058307235593	-234.14	25630.6257	0.99478
NAMD	78000	-8016.4743	-8808.8472	-8019.815500000001	-223.2520	25630.6257	0.9947837736524707
NAMD	80500	-8037.3737	-8872.6880	-8042.4284	-24.9217	25630.6257	0.9947837736524707
GOMC	80500	-8042.6130755711665	-8872.867014831305	-8042.632947613753	85.1	25630.6257	0.99478
GOMC	81000	-8037.645064924564	-8872.668294405441	-8037.585448796805	99.224	25630.6257	0.99271
NAMD	81000	-8034.2088	-8872.5612	-8037.4612	46.8093	25630.6257	0.9927105785997257
NAMD	83500	-8096.2410	-8929.0719	-8103.433600000001	-223.7526	25630.6257	0.9927105785997257
GOMC	83500	-8103.421525885577	-8929.104895350842	-8103.481142013336	-255.99	25630.6257	0.99271
GOMC	84000	-8112.165224623596	-8937.451153237133	-8112.204968708768	-212.83	25630.6257	0.99595
NAMD	84000	-8106.2903	-8937.3234	-8112.0587	-186.4065	25630.6257	0.9959499458696399
NAMD	86500	-8100.1619	-8909.1506	-8104.255700000001	-387.3429	25630.6257	0.9959499458696399
GOMC	86500	-8104.216407589032	-8909.232852764433	-8104.355511887138	-400.14	25630.6257	0.99595
GOMC	87000	-8113.754988030509	-8916.982949373132	-8113.794732115682	-333.67	25630.6257	0.99919
NAMD	87000	-8109.6339	-8916.9358	-8113.7278	-323.2626	25630.6257	0.9991893131395541
NAMD	89500	-8071.3898	-8961.9191	-8074.993799999999	668.2469	25630.6257	0.9991893131395541
GOMC	89500	-8074.805784561148	-8961.695045192551	-8074.785912518562	612.75	25630.6257	0.99919
GOMC	90000	-8069.837773914546	-8949.97054006657	-8069.897390042305	654.34	25630.6257	1.0022
NAMD	90000	-8066.5170	-8950.1320	-8070.0422	738.5497	25630.6257	1.002169531027875
NAMD	92500	-8033.9989	-8800.3676	-8038.3661999999995	-450.2109	25630.6257	1.002169531027875
GOMC	92500	-8038.241226202157	-8800.13533896505	-8038.16173803181	-319.58	25630.6257	1.0022
GOMC	93000	-8031.683452148643	-8800.13533896505	-8031.822556446747	-370.65	25630.6257	0.99802
NAMD	93000	-8029.6764	-8800.2747	-8031.9397	-446.7929	25630.6257	0.998023140922385
NAMD	95500	-8098.5077	-8925.2048	-8101.740199999999	-4.7341	25630.6257	0.998023140922385
GOMC	95500	-8102.030482904527	-8925.527927685287	-8102.090099032286	-104.53	25630.6257	0.99802
GOMC	96000	-8111.5690633460035	-8932.880583442258	-8111.6088074311765	29.116	25630.6257	1.0032999999999999
NAMD	96000	-8108.0871	-8932.5942	-8111.299499999999	152.6535	25630.6257	1.003335703245044
NAMD	98500	-8033.3171	-8761.4677	-8038.289899999999	-756.5842	25630.6257	1.003335703245044
GOMC	98500	-8038.439946628021	-8761.583576347419	-8038.420074585434	-753.52	25630.6257	1.0032999999999999
GOMC	99000	-8024.926957669263	-8761.384855921555	-8024.827597456331	-814.73	25630.6257	0.99505
