#STEP MOLFRAC_DIOX
2500 0.0189798339
3000 0.0201421801
5500 0.0201421801
6000 0.0189798339
8500 0.0189798339
9000 0.0201421801
11500 0.0201421801
12000 0.0201421801
14500 0.0201421801
15000 0.0213270142
17500 0.0213270142
18000 0.0224852071
20500 0.0224852071
21000 0.024822695
23500 0.024822695
24000 0.0201660735
26500 0.0201660735
27000 0.0190023753
29500 0.0190023753
30000 0.0201660735
32500 0.0201660735
33000 0.0166666667
35500 0.0166666667
36000 0.0166865316
38500 0.0166865316
39000 0.0190249703
41500 0.0190249703
42000 0.0166666667
44500 0.0166666667
45000 0.0190023753
47500 0.0190023753
48000 0.0201660735
50500 0.0201660735
51000 0.0190023753
53500 0.0190023753
54000 0.0178359096
56500 0.0178359096
57000 0.0189798339
59500 0.0189798339
60000 0.0201421801
62500 0.0201421801
63000 0.0189349112
65500 0.0189349112
66000 0.0189349112
68500 0.0189349112
69000 0.018957346
71500 0.018957346
72000 0.0201183432
74500 0.0201183432
75000 0.0178147268
77500 0.0178147268
78000 0.0154761905
80500 0.0154761905
81000 0.0166666667
83500 0.0166666667
84000 0.0166270784
86500 0.0166270784
87000 0.0166270784
89500 0.0166270784
90000 0.0178147268
92500 0.0178147268
93000 0.0143198091
95500 0.0143198091
96000 0.0131421744
98500 0.0131421744
99000 0.0142857143
101500 0.0142857143
102000 0.0143198091
104500 0.0143198091
105000 0.0131736527
107500 0.0131736527
108000 0.0119904077
110500 0.0119904077
111000 0.0131578947
113500 0.0131578947
114000 0.0119760479
116500 0.0119760479
117000 0.0131736527
119500 0.0131736527
120000 0.0143369176
122500 0.0143369176
123000 0.0178147268
125500 0.0178147268
126000 0.0154577883
128500 0.0154577883
129000 0.0142687277
131500 0.0142687277
132000 0.0130952381
134500 0.0130952381
135000 0.0130952381
137500 0.0130952381
138000 0.0154394299
140500 0.0154394299
141000 0.0119047619
143500 0.0119047619
144000 0.0130796671
146500 0.0130796671
147000 0.013064133
149500 0.013064133
150000 0.013064133
152500 0.013064133
153000 0.0142348754
155500 0.0142348754
156000 0.0142180095
158500 0.0142180095
159000 0.0153846154
161500 0.0153846154
162000 0.0165484634
164500 0.0165484634
165000 0.0165484634
167500 0.0165484634
168000 0.0153846154
170500 0.0153846154
171000 0.0153846154
173500 0.0153846154
174000 0.0142011834
176500 0.0142011834
177000 0.0165289256
179500 0.0165289256
180000 0.0153846154
182500 0.0153846154
183000 0.0142011834
185500 0.0142011834
186000 0.0118764846
188500 0.0118764846
189000 0.0118764846
191500 0.0118764846
192000 0.0118623962
194500 0.0118623962
195000 0.0130486358
197500 0.0130486358
198000 0.0153846154
200500 0.0153846154
201000 0.0142180095
203500 0.0142180095
204000 0.0142180095
206500 0.0142180095
207000 0.0142011834
209500 0.0142011834
210000 0.0118623962
212500 0.0118623962
213000 0.0118623962
215500 0.0118623962
216000 0.0118623962
218500 0.0118623962
219000 0.0106888361
221500 0.0106888361
222000 0.0130177515
224500 0.0130177515
225000 0.0153664303
227500 0.0153664303
228000 0.0130331754
230500 0.0130331754
231000 0.0141676505
233500 0.0141676505
234000 0.0118343195
236500 0.0118343195
237000 0.0164899882
239500 0.0164899882
240000 0.0153301887
242500 0.0153301887
243000 0.0141843972
245500 0.0141843972
246000 0.00950118765
248500 0.00950118765
249000 0.0130177515
251500 0.0130177515
252000 0.016509434
254500 0.016509434
255000 0.0153482881
257500 0.0153482881
258000 0.0141843972
260500 0.0141843972
261000 0.0130331754
263500 0.0130331754
264000 0.0141843972
266500 0.0141843972
267000 0.0164705882
269500 0.0164705882
270000 0.0141342756
272500 0.0141342756
273000 0.0141342756
275500 0.0141342756
276000 0.0164512338
278500 0.0164512338
279000 0.0164705882
281500 0.0164705882
282000 0.0164705882
284500 0.0164705882
285000 0.0141509434
287500 0.0141509434
288000 0.012987013
290500 0.012987013
291000 0.0164705882
293500 0.0164705882
294000 0.0153121319
296500 0.0153121319
297000 0.0164705882
299500 0.0164705882
300000 0.0152761457
302500 0.0152761457
303000 0.015258216
305500 0.015258216
306000 0.015258216
308500 0.015258216
309000 0.0141010576
311500 0.0141010576
312000 0.0129411765
314500 0.0129411765
315000 0.0152403283
317500 0.0152403283
318000 0.0152403283
320500 0.0152403283
321000 0.0152224824
323500 0.0152224824
324000 0.014084507
326500 0.014084507
327000 0.0152224824
329500 0.0152224824
330000 0.0117508813
332500 0.0117508813
333000 0.0117508813
335500 0.0117508813
336000 0.0129107981
338500 0.0129107981
339000 0.0141010576
341500 0.0141010576
342000 0.0129411765
344500 0.0129411765
345000 0.0129564193
347500 0.0129564193
348000 0.0141176471
350500 0.0141176471
351000 0.00945626478
353500 0.00945626478
354000 0.0153121319
356500 0.0153121319
357000 0.0118063754
359500 0.0118063754
360000 0.012987013
362500 0.012987013
363000 0.012987013
365500 0.012987013
366000 0.0152941176
368500 0.0152941176
369000 0.0141509434
371500 0.0141509434
372000 0.0141509434
374500 0.0141509434
375000 0.012987013
377500 0.012987013
378000 0.0141676505
380500 0.0141676505
381000 0.0153301887
383500 0.0153301887
384000 0.0141676505
386500 0.0141676505
387000 0.0153664303
389500 0.0153664303
